service, best case response time, worst case response time, average response time, std dev response time, availability
Shipping Service: Ship Order Request,0.000654571,0.001669814,0.0009996925,0.0003161152525938127,1
Currency Service: Currency Conversion Request,0.00147501,0.007369663,0.0031978248,0.001568647331410843,1
Currency Service: Empty Request,0.002546074,0.032809481,0.006816956400000002,0.009127475253329282,1
Cart Service: Add Item Request,4.6327e-05,0.003275316,0.0025228863,0.0008521992049496467,0.9
Cart Service: Get Cart Request,1.1824e-05,0.002393593,0.0017811431000000003,0.0006353924567977574,0.9
Cart Service: Empty Cart Request,1.8879e-05,0.003454123,0.0015173276,0.000806829640790198,0.9
Ad Service: Ad Request,0.008335476,0.046731563,0.016179741400000003,0.012040858552403314,1
Payment Service: Charge Request,0.001989584,0.008996573,0.0041099037,0.0017413177418575307,1
Email Service: Send Order Confirmation Request,0.153223484,0.607174873,0.3807550827,0.14808076722839533,1
Product Catalogue Service: Empty Request,0.00076569,0.10023505,0.010891309200000001,0.029781483242341103,1
Prouduct Catalogue Service: Get Product Request,0.000347614,0.000828487,0.0004813186,0.00014114058299029376,1
Product Catalogue Service: Search Product Request,0.00034926,0.002550264,0.0006912905000000001,0.0006383092006833758,1
Recommendation List Service: Recommendation Request,0.002110315,0.004211258,0.0030812536999999997,0.0005399473227982615,1
Checkout Service: Place Order Request,0.205109976,0.738437683,0.4295992213,0.15439812284357882,1
Shipping Service: Get Quote Request,0.000833357,0.002425001,0.0011345314999999998,0.0004423070223056039,1
Shipping Service: Ship Order Request,0.000730654,0.003355795,0.0013021962999999997,0.0007345801951231806,1
Currency Service: Currency Conversion Request,0.002595636,0.018562742,0.0053562895999999995,0.004700069911041221,1
Currency Service: Empty Request,0.002506767,0.008483169,0.0043051089,0.00203243641077016,1
Cart Service: Add Item Request,0.001995402,0.010541298,0.0032973368999999995,0.002428122521285013,1
Cart Service: Get Cart Request,0.001065296,0.001978013,0.0016658407999999999,0.0002845106420891141,1
Cart Service: Empty Cart Request,0.000810316,0.00207008,0.0014499814,0.0003720368031496885,1
Ad Service: Ad Request,0.006970566,0.066584356,0.0167315113,0.01748248335025102,1
Payment Service: Charge Request,0.002537653,0.016999724,0.0048651531,0.004118499061529514,1
Email Service: Send Order Confirmation Request,0.318336027,0.560920833,0.43414745409999994,0.08621282805025053,1
Product Catalogue Service: Empty Request,0.000843112,0.001541911,0.0010617861,0.00019991770281815966,1
Prouduct Catalogue Service: Get Product Request,0.000358054,0.000753075,0.0005049685,0.00011941516431362475,1
Product Catalogue Service: Search Product Request,0.000314054,0.001259685,0.00047904619999999986,0.0002662297700674363,1
Recommendation List Service: Recommendation Request,0.002853462,0.004082073,0.0034200646,0.00033764644857104607,1
Checkout Service: Place Order Request,0.287613933,0.560681738,0.4048856998,0.10334221983096752,1
Shipping Service: Get Quote Request,0.000973682,0.002210923,0.0012424874000000002,0.0003389946192408369,1
Shipping Service: Ship Order Request,0.000716158,0.002223117,0.0010671211,0.00043784032378469897,1
Currency Service: Currency Conversion Request,0.002476588,0.007219924,0.0033820942,0.0013528553099160163,1
Currency Service: Empty Request,0.002453865,0.003047367,0.0027046284,0.00019844078485240884,1
Cart Service: Add Item Request,0.001952843,0.002765356,0.0024208716999999996,0.00021707991657223848,1
Cart Service: Get Cart Request,0.001169135,0.003152278,0.0018126322999999999,0.0005663844428236089,1
Cart Service: Empty Cart Request,0.001006675,0.001800022,0.0012864431,0.0003004804343458821,1
Ad Service: Ad Request,0.00680191,0.045135466,0.0183544805,0.012550722490574732,1
Payment Service: Charge Request,0.004485756,0.017519755,0.0090214598,0.0033950880426709355,1
Email Service: Send Order Confirmation Request,0.085934879,0.529402544,0.32426073850000003,0.12013040118247961,1
Product Catalogue Service: Empty Request,0.001173534,0.002995574,0.0015531541000000002,0.0005988974564363168,1
Prouduct Catalogue Service: Get Product Request,0.000499612,0.002452083,0.0010232019,0.0005968530924638742,1
Product Catalogue Service: Search Product Request,0.000528877,0.00456141,0.0012538509999999998,0.001171477238515798,1
Recommendation List Service: Recommendation Request,0.00247657,0.003702454,0.0030158248999999997,0.00035349453760629736,1
Checkout Service: Place Order Request,0.156870429,0.56823582,0.3712911422,0.15722107710860672,1
Shipping Service: Get Quote Request,0.000795212,0.005403942,0.0014930853,0.0013226367857273628,1
Shipping Service: Ship Order Request,0.000776805,0.003975959,0.0013694816000000003,0.0009402312528764612,1
Currency Service: Currency Conversion Request,0.002659558,0.005180224,0.003380905099999999,0.0007637234744585831,1
Currency Service: Empty Request,0.001260571,0.003911484,0.0027797994000000005,0.0006248260072564522,1
Cart Service: Add Item Request,0.00198071,0.004095307,0.0027137083,0.0007269391730542591,1
Cart Service: Get Cart Request,0.001378828,0.003406475,0.0019018152,0.000594542467969749,1
Cart Service: Empty Cart Request,0.000916037,0.004028588,0.0015328629,0.0008588286465726965,1
Ad Service: Ad Request,0.009142591,0.056814463,0.0177660846,0.014821791491133237,1
Payment Service: Charge Request,0.002483599,0.003845103,0.0033200596,0.0004726230638682797,1
Email Service: Send Order Confirmation Request,0.06814353,0.489757916,0.284642035,0.1584122848803221,1
Product Catalogue Service: Empty Request,0.000788555,0.104487346,0.011328419999999999,0.03105336228325017,1
Prouduct Catalogue Service: Get Product Request,0.000401342,0.001058839,0.0005818514,0.0001879262625224053,1
Product Catalogue Service: Search Product Request,0.000327476,0.00058758,0.00040272819999999994,8.935583689921997e-05,1
Recommendation List Service: Recommendation Request,0.002408045,0.006306036,0.0033984124000000005,0.0012456210958630397,1
Checkout Service: Place Order Request,0.152490344,0.587936315,0.3895444972,0.1465362803885216,1
Shipping Service: Get Quote Request,0.000853467,0.002955095,0.0012907919,0.0006934856932516273,1
Shipping Service: Ship Order Request,0.000813775,0.002661983,0.0014358287,0.0005257321643358052,1
Currency Service: Currency Conversion Request,0.00284302,0.008825384,0.0037743932,0.0017517096303973328,1
Currency Service: Empty Request,0.002800824,0.006225542,0.0038272753,0.0011442431365125201,1
Cart Service: Add Item Request,0.00212042,0.004721876,0.0028560794000000002,0.0006721876845889398,1
Cart Service: Get Cart Request,0.001433989,0.005344179,0.0021700371,0.0010827177894742886,1
Cart Service: Empty Cart Request,0.001248726,0.00819995,0.0025966376000000004,0.0022762532104945703,1
Ad Service: Ad Request,0.005429608,0.109347915,0.0251998361,0.034460159988872065,1
Payment Service: Charge Request,0.003155039,0.004845517,0.0036560535000000004,0.00048364225398785197,1
Email Service: Send Order Confirmation Request,0.120302906,0.5005609,0.2677710696,0.11004651664881317,1
Product Catalogue Service: Empty Request,0.000802397,0.007096675,0.0015250049,0.0018626997686222787,1
Prouduct Catalogue Service: Get Product Request,0.000353265,0.000753931,0.00048244729999999994,0.00014629466196621805,1
Product Catalogue Service: Search Product Request,0.000357621,0.003269007,0.0007075015999999999,0.0008550472212378916,1
Recommendation List Service: Recommendation Request,0.00262681,0.006354066,0.0034778857000000002,0.001098062823139009,1
Checkout Service: Place Order Request,0.135360851,0.600354572,0.385726184,0.13671252401266762,1
Shipping Service: Get Quote Request,0.000827804,0.001389839,0.0010782755999999998,0.00015660116995872027,1
